DATE,CUUS0000SAF116
1984-01-01,102.400
1984-07-01,103.600
1985-01-01,105.000
1985-07-01,107.800
1986-01-01,110.800
1986-07-01,111.500
1987-01-01,113.200
1987-07-01,115.000
1988-01-01,117.500
1988-07-01,119.600
1989-01-01,122.000
1989-07-01,124.900
1990-01-01,127.900
1990-07-01,130.600
1991-01-01,141.600
1991-07-01,144.000
1992-01-01,146.600
1992-07-01,148.000
1993-01-01,149.300
1993-07-01,149.900
1994-01-01,151.400
1994-07-01,151.600
1995-01-01,153.200
1995-07-01,154.600
1996-01-01,157.400
1996-07-01,159.600
1997-01-01,162.100
1997-07-01,163.500
1998-01-01,165.100
1998-07-01,166.400
1999-01-01,168.700
1999-07-01,170.700
2000-01-01,173.500
2000-07-01,175.900
2001-01-01,178.100
2001-07-01,180.500
2002-01-01,182.800
2002-07-01,184.400
2003-01-01,186.400
2003-07-01,187.900
2004-01-01,191.000
2004-07-01,193.300
2005-01-01,195.400
2005-07-01,196.400
2006-01-01,200.000
2006-07-01,201.400
2007-01-01,205.527
2007-07-01,208.524
2008-01-01,212.637
2008-07-01,216.330
2009-01-01,219.824
2009-07-01,221.678
2010-01-01,222.477
2010-07-01,224.105
2011-01-01,226.102
2011-07-01,227.267
2012-01-01,230.484
2012-07-01,231.115
2013-01-01,233.940
2013-07-01,235.307
2014-01-01,236.526
2014-07-01,238.083
2015-01-01,239.229
2015-07-01,239.831
2016-01-01,242.195
2016-07-01,242.856
2017-01-01,244.833
2017-07-01,246.006
